productname                                        ListPrice             ProductSubcategory                                 ProductCategory                                    PriceRank
-------------------------------------------------- --------------------- -------------------------------------------------- -------------------------------------------------- --------------------
Road-150 Red, 62                                   3578.27               Road Bikes                                         Bikes                                              1
Road-150 Red, 44                                   3578.27               Road Bikes                                         Bikes                                              1
Road-150 Red, 48                                   3578.27               Road Bikes                                         Bikes                                              1
Road-150 Red, 52                                   3578.27               Road Bikes                                         Bikes                                              1
Road-150 Red, 56                                   3578.27               Road Bikes                                         Bikes                                              1
Mountain-100 Silver, 38                            3399.99               Mountain Bikes                                     Bikes                                              6
Mountain-100 Silver, 42                            3399.99               Mountain Bikes                                     Bikes                                              6
Mountain-100 Silver, 44                            3399.99               Mountain Bikes                                     Bikes                                              6
Mountain-100 Silver, 48                            3399.99               Mountain Bikes                                     Bikes                                              6
Mountain-100 Black, 38                             3374.99               Mountain Bikes                                     Bikes                                              10
Mountain-100 Black, 42                             3374.99               Mountain Bikes                                     Bikes                                              10
Mountain-100 Black, 44                             3374.99               Mountain Bikes                                     Bikes                                              10
Mountain-100 Black, 48                             3374.99               Mountain Bikes                                     Bikes                                              10
Road-250 Red, 44                                   2443.35               Road Bikes                                         Bikes                                              14
Road-250 Red, 48                                   2443.35               Road Bikes                                         Bikes                                              14
Road-250 Red, 52                                   2443.35               Road Bikes                                         Bikes                                              14
Road-250 Red, 58                                   2443.35               Road Bikes                                         Bikes                                              14
Road-250 Black, 44                                 2443.35               Road Bikes                                         Bikes                                              14
Road-250 Black, 48                                 2443.35               Road Bikes                                         Bikes                                              14
Road-250 Black, 52                                 2443.35               Road Bikes                                         Bikes                                              14
Road-250 Black, 58                                 2443.35               Road Bikes                                         Bikes                                              14
Touring-1000 Yellow, 46                            2384.07               Touring Bikes                                      Bikes                                              22
Touring-1000 Yellow, 50                            2384.07               Touring Bikes                                      Bikes                                              22
Touring-1000 Yellow, 54                            2384.07               Touring Bikes                                      Bikes                                              22
Touring-1000 Yellow, 60                            2384.07               Touring Bikes                                      Bikes                                              22
Touring-1000 Blue, 46                              2384.07               Touring Bikes                                      Bikes                                              22
Touring-1000 Blue, 50                              2384.07               Touring Bikes                                      Bikes                                              22
Touring-1000 Blue, 54                              2384.07               Touring Bikes                                      Bikes                                              22
Touring-1000 Blue, 60                              2384.07               Touring Bikes                                      Bikes                                              22
